City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,college,64.8569,-147.8028,21.86,57,20,2.57,US,1722883005
1,termas de rio hondo,-27.4998,-64.8604,22.74,42,8,2.95,AR,1722883006
2,fort mcmurray,56.7268,-111.381,22.73,43,0,3.6,CA,1722882779
3,iskateley,67.6803,53.1512,6.48,83,3,5.32,RU,1722883008
4,tual,-5.6667,132.75,25.25,85,97,9.29,ID,1722883009
5,paragominas,-2.9667,-47.4833,35.98,26,74,2.61,BR,1722883010
6,papatowai,-46.5619,169.4708,5.08,84,32,3.38,NZ,1722883011
7,selfoss,63.9331,-20.9971,12.25,96,100,0.83,IS,1722883012
8,broken hill,-31.95,141.4333,5.01,92,0,2.27,AU,1722883013
9,port-aux-francais,-49.35,70.2167,1.01,72,12,5.54,TF,1722883014
10,ilulissat,69.2167,-51.1,9.01,76,20,2.57,GL,1722883008
11,shyryayeve,47.3805,30.1964,24.62,29,100,1.36,UA,1722883017
12,sinop,41.7711,34.8709,17.35,96,75,0.95,TR,1722883018
13,hassi messaoud,31.6804,6.0729,38.92,16,0,2.06,DZ,1722883019
14,olonkinbyen,70.9221,-8.7187,6.37,96,99,2.45,SJ,1722882785
15,albany,42.6001,-73.9662,28.58,62,96,0.45,US,1722882762
16,badger,64.8,-147.5333,22.03,58,20,2.57,US,1722883024
17,mikun',62.3547,50.0771,13.95,98,98,2.88,RU,1722883026
18,adamstown,-25.066,-130.1015,19.49,65,21,5.49,PN,1722883027
19,kavieng,-2.5744,150.7967,27.4,79,100,4.97,PG,1722883028
20,fisterra,42.9049,-9.2629,25.01,94,9,3.98,ES,1722883029
21,kerikeri,-35.2268,173.9474,6.06,94,1,1.63,NZ,1722883030
22,udachny,66.4167,112.4,10.31,88,100,7.89,RU,1722883031
23,horta,38.5333,-28.6333,25.57,89,20,5.14,PT,1722883018
24,camacupa,-12.0167,17.4833,21.0,19,3,1.43,AO,1722883033
25,kingston,17.997,-76.7936,33.53,66,20,9.77,JM,1722882584
26,carnarvon,-24.8667,113.6333,17.0,59,0,2.57,AU,1722883035
27,bilibino,68.0546,166.4372,2.21,68,84,1.83,RU,1722883037
28,sambalpur,21.45,83.9667,25.58,91,100,3.32,IN,1722883038
29,yellowknife,62.456,-114.3525,20.19,56,75,4.47,CA,1722882785
30,bethel,41.3712,-73.414,30.49,57,0,2.57,US,1722882858
31,blackmans bay,-43.0167,147.3167,10.01,75,100,0.89,AU,1722883041
32,lebu,-37.6167,-73.65,10.68,65,73,2.98,CL,1722883042
33,kambar,27.5868,68.001,31.88,64,99,4.46,PK,1722883043
34,manokwari,-0.8667,134.0833,25.9,80,61,3.23,ID,1722883044
35,mammoth lakes,37.6485,-118.9721,25.85,18,0,3.6,US,1722883046
36,luchegorsk,46.4764,134.2569,22.09,91,100,4.5,RU,1722883047
37,cheadle,52.9833,-1.9833,20.63,93,100,5.71,GB,1722883048
38,pisco,-13.7,-76.2167,19.08,72,1,4.12,PE,1722883049
39,leh,34.1667,77.5833,14.38,65,82,1.56,IN,1722883051
40,myrina,39.8797,25.0742,26.58,57,0,0.0,GR,1722883052
41,iqaluit,63.7506,-68.5145,8.72,76,100,3.09,CA,1722883053
42,waitangi,-43.9535,-176.5597,8.23,94,86,2.24,NZ,1722883054
43,chonchi,-42.6128,-73.8092,8.4,97,100,1.75,CL,1722883055
44,kodiak,57.79,-152.4072,11.73,100,100,7.2,US,1722883056
45,uzhur,55.3036,89.8339,15.02,91,100,2.95,RU,1722882794
46,margaret river,-33.95,115.0667,16.28,84,99,7.62,AU,1722883059
47,quimili,-27.6333,-62.4167,27.0,36,0,2.48,AR,1722883060
48,bredasdorp,-34.5322,20.0403,8.78,83,0,3.44,ZA,1722883061
49,sadjoavato,-12.6334,49.349,19.79,89,26,2.86,MG,1722883062
50,crucecita,-28.95,-58.9833,24.57,68,95,3.14,AR,1722883063
51,karratha,-20.7377,116.8463,17.79,39,29,3.37,AU,1722883065
52,whitehorse,60.7161,-135.0538,20.3,40,0,6.17,CA,1722882818
53,ushuaia,-54.8,-68.3,-0.19,69,20,0.0,AR,1722882819
54,puerto baquerizo moreno,-0.9,-89.6,22.55,88,75,5.14,EC,1722883068
55,concepcion,-36.827,-73.0498,11.89,71,75,3.09,CL,1722883031
56,acapulco de juarez,16.8634,-99.8901,25.9,89,100,2.06,MX,1722882934
57,shimoda,34.6667,138.95,25.61,88,8,1.55,JP,1722882807
58,richfield,44.8833,-93.283,20.18,90,100,5.14,US,1722883072
59,hermanus,-34.4187,19.2345,11.38,79,12,5.63,ZA,1722883073
60,mandera,3.9366,41.867,29.7,35,89,5.0,KE,1722883075
61,kigoma,-4.8769,29.6267,23.76,54,0,1.31,TZ,1722883076
62,ati,13.2154,18.3353,23.82,90,99,2.47,TD,1722883077
63,afaahiti,-17.75,-149.2833,24.93,75,86,5.33,PF,1722883080
64,klyuchi,52.2667,79.1667,18.06,69,40,2.96,RU,1722883081
65,hamilton,39.1834,-84.5333,32.71,53,0,4.12,US,1722882819
66,qaqortoq,60.7167,-46.0333,9.45,69,100,1.65,GL,1722883083
67,ajaccio,42.0,8.9167,24.7,78,0,3.09,FR,1722883084
68,port pirie,-33.1833,138.0167,7.86,85,11,1.79,AU,1722883085
69,p'ot'i,42.1462,41.672,24.46,79,1,1.2,GE,1722883086
70,ponta delgada,37.7333,-25.6667,26.4,83,20,5.14,PT,1722883094
71,flying fish cove,-10.4217,105.6791,24.82,83,100,5.14,CX,1722883099
72,thompson,55.7435,-97.8558,21.09,37,20,2.57,CA,1722883101
73,bengkulu,-3.8004,102.2655,23.33,92,9,2.7,ID,1722883102
74,owando,-0.4819,15.8999,26.93,56,97,1.44,CG,1722883103
75,shwebo,22.5667,95.7,24.89,93,100,3.2,MM,1722883105
76,yaren,-0.5472,166.916,28.57,70,11,4.8,NR,1722883106
77,hammerfest,70.6634,23.6821,18.06,61,7,1.73,NO,1722883107
78,ust'-ilimsk,58.0006,102.6619,12.8,70,6,1.14,RU,1722883095
79,sangin,32.0728,64.8359,34.43,18,3,3.59,AF,1722883111
80,pacific grove,36.6177,-121.9166,14.08,95,100,5.36,US,1722883112
81,prineville,44.2999,-120.8345,28.97,31,0,1.54,US,1722883113
82,wailua homesteads,22.0669,-159.378,26.28,72,0,5.14,US,1722883114
